company_id,Registration Number,Full Name,Registration Date,State,Registered Address
C 107351,C 107351,Live Entertainment Studios Limited,29-12-2023,Active,"['OCEAN GARDENS BLOCK B FL 8', 'TRIQ IS- SIKKA (BAHAR IC-CAGHAQ)', 'BAHAR IC-CAGHAQ', 'NXR 5169', 'Malta']"
C 107352,C 107352,Porta Medical Group Ltd.,29-12-2023,Active,"['86A', 'TRIQ LELI FALZON', 'NAXXAR', 'NXR 2609', 'Malta']"
C 107353,C 107353,Diamond ESG International Ltd.,21-12-2023,Active,"['3 ADVANCE BUSINESS CENTRE', ""TRIQ GUZE' FLORES"", 'SANTA VENERA', 'SVR 1950', 'Malta']"
C 107354,C 107354,ATTARD & CO INDUSTRIAL HOLDCO LIMITED LIMITED,21-12-2023,Active,"['CANTER BUSINESS CENTRE', 'TRIQ PATRI FELICJAN BILOCCA', 'MARSA', 'MRS 1524', 'Malta']"
C 107355,C 107355,Attard & Co Food Prop Co Limited,21-12-2023,Active,"['CANTER BUSINESS CENTRE', 'TRIQ PATRI FELICJAN BILOCCA', 'MARSA', 'MRS 1524', 'Malta']"
C 107356,C 107356,DDO Limited,2/1/2024,Active,"['23 OFFICE 2', 'TRIQ GIUSEPPE CALLEJA', 'SWATAR MSIDA', 'MSD 2270', 'Malta']"
C 107357,C 107357,OmniMedia Limited,22-12-2023,Active,"['ELITE BUSINESS CENTRE', ""TREJQA TA' BOXBOX"", 'MSIDA', 'MSD 1840', 'Malta']"
C 107358,C 107358,Cactus Rights LTD.,28-12-2023,Active,"['LEVEL 6 SUITE 1 PLAZA COMMERCIAL CENTRE', 'TRIQ BISAZZA', 'SLIEMA', 'SLM 1640', 'Malta']"
C 107359,C 107359,MARINA CONSULTANCY LIMITED,28-12-2023,Active,"['OYIA BUSINESS CENTRE FLOOR 3 SUITE 301', 'TRIQ IS- SALIB TAL-MARSA', 'MARSA', 'MRS 1547', 'Malta']"
C 107360,C 107360,Eldrill I Ltd.,20-12-2023,Active,"['DRAGONARA BUSINESS CENTRE 5TH FLOOR', 'TRIQ ID- DRAGUNARA', 'Paceville', 'STJ 3141', 'Malta']"
C 107361,C 107361,Eldrill II Ltd.,20-12-2023,Active,"['DRAGONARA BUSINESS CENTRE 5 TH FLOOR', 'TRIQ ID- DRAGUNARA', 'Paceville', 'STJ 3141', 'Malta']"
C 107362,C 107362,Eldrill III Ltd.,20-12-2023,Active,"['DRAGONARA BUSINESS CENTRE 5 TH FLOOR', 'TRIQ ID- DRAGUNARA', 'Paceville', 'STJ 3141', 'Malta']"
C 107363,C 107363,Scandix Limited,2/1/2024,Active,"['QUAD CENTRAL Q3 LEVEL 3 ZONE 1 TRIQ L-ESPORTATURI', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD 1040', 'Malta']"
C 107364,C 107364,Snaefell International Limited,29-12-2023,Active,"['124 SINFONIA', 'TRIQ MARGARET A. MURRAY', 'NAXXAR', 'NXR 4030', 'Malta']"
C 107365,C 107365,Pushnira Limited,3/1/2024,Active,"['405', 'TRIQ IL- KBIRA SAN GUZEPP', 'SANTA VENERA', 'SVR 1015', 'Malta']"
C 107366,C 107366,NOHOFORM HOLDINGS LTD.,3/1/2024,Active,"[""TA' MAGGI INDUSTRIAL PARK ADMINISTRATION BUILDING LEVEL -2"", 'TRIQ SAN LEONARDU', 'XGHAJRA', 'XJR 2306', 'Malta']"
C 107370,C 107370,HFBA Trading Limited,3/1/2024,Active,"['LEVEL 3 (SUITE 3303) TOWER BUSINESS CENTRE', 'TRIQ IT- TORRI', 'SWATAR BIRKIRKARA', 'BKR 4013', 'Malta']"
C 107373,C 107373,Cross Yachting Ltd.,3/1/2024,Active,"['40 VILLA FAIRHOLME', 'TRIQ SIR AUGUSTUS BARTOLO', 'TA XBIEX', 'XBX 1095', 'Malta']"
C 107374,C 107374,First Marketing Trading Solutions Holding Ltd.,3/1/2024,Active,"['64 EXCALIBUR', 'TRIQ B. BONTADINI', 'BIRKIRKARA', 'BKR 1737', 'Malta']"
C 107375,C 107375,LA BOUCHERIE RETAIL OPERATIONS LIMITED,21-12-2023,Active,"['42-46', 'TRIQ IL- KBIRA', 'QORMI', 'QRM 3105', 'Malta']"
C 107376,C 107376,Phimarc Holding Ltd.,21-12-2023,Active,"['29 GOLDNEY', 'TRIQ IL- KARENZA', 'BALZAN', 'BZN 1660', 'Malta']"
C 107377,C 107377,MAGIC SKIPS LIMITED,3/1/2024,Active,"[""5 SAN FILEP T'AGGIRA"", 'Triq Pinu Mifsud', 'ZEBBUG', 'ZBG 1820', 'Malta']"
C 107378,C 107378,LOLLYPOP LTD.,28-12-2023,Active,"['LEVEL 6 SUITE 1 PLAZA COMMERCIAL CENTRE', 'TRIQ BISAZZA', 'SLIEMA', 'SLM 1640', 'Malta']"
C 107379,C 107379,VentureMax Partners Ltd.,21-12-2023,Active,"['229 COMMERCIAL AREA', 'TRIQ IT- TORRI', 'SLIEMA', 'SLM 1601', 'Malta']"
C 107384,C 107384,GROSSETO TRADING LTD.,20-11-2023,Active,"['KINGSWAY PALACE 4TH FLOOR - FLAT 20', 'TRIQ IR- REPUBBLIKA', 'VALLETTA', 'VLT 1115', 'Malta']"
C 107385,C 107385,SYRUBU Limited,21-12-2023,Active,"['NO.6 MARINA ALLEY', 'TRIQ IX- XATT', 'PIETA', 'PTA 1611', 'Malta']"
C 107386,C 107386,DCH LCS LTD.,4/1/2024,Active,"['SOHO OFFICE PUNCHBOWL CENTRE', 'TRIQ ELIJA ZAMMIT', 'SAN GILJAN', 'STJ 3154', 'Malta']"
C 107387,C 107387,TerraMedia Ltd.,21-12-2023,Active,"['229 COMMERCIAL AREA', 'TRIQ IT- TORRI', 'SLIEMA', 'SLM 1601', 'Malta']"
C 107388,C 107388,GIORGI CONSULTING LTD.,4/1/2024,Active,"['BLOCK 20 22', 'VJAL PORTOMASO', 'SAN GILJAN', 'STJ 4012', 'Malta']"
C 107389,C 107389,Engineering Xperts Ltd.,4/1/2024,Active,"['PUNCHBOWL CENTRE', 'TRIQ ELIJA ZAMMIT', 'Paceville', 'STJ 3154', 'Malta']"
C 107390,C 107390,PRUVA SHIPPING LIMITED,4/1/2024,Active,"['171', 'TRIQ L- IFRAN', 'VALLETTA', 'VLT 1455', 'Malta']"
C 107391,C 107391,21 CORP Ltd.,4/1/2024,Active,"['LEVEL 2 HAL MANN BUSINESS CENTRE', 'Triq il- Mosta', 'LIJA', 'LJA 9016', 'Malta']"
C 107392,C 107392,THE LAKHANI GROUP MALTA LTD.,4/1/2024,Active,"['86', 'TRIQ IL- MERKANTI', 'VALLETTA', 'VLT 1177', 'Malta']"
C 107393,C 107393,MLL TRADING LIMITED,21-12-2023,Active,"['2', 'TRIQ SIR AUGUSTUS BARTOLO', 'TA XBIEX', 'XBX 1091', 'Malta']"
C 107394,C 107394,Void Games Limited,28-12-2023,Active,"['168', 'TRIQ SAN KRISTOFRU', 'VALLETTA', 'VLT 1467', 'Malta']"
C 107395,C 107395,IGUANA PRODUCTIONS LTD.,5/1/2024,Active,"['NUBIS CENTRE ROOM 2 LEVEL 2', 'Triq il- Mosta', 'LIJA', 'LJA 9012', 'Malta']"
C 107396,C 107396,Luxury Villas International Ltd.,5/1/2024,Active,"['B1 THE WINDGATES', 'TRIQ IT- TORRI TAL-KAPTAN', 'NAXXAR', 'NXR 2152', 'Malta']"
C 107397,C 107397,Sky 365 Business Suites Ltd.,5/1/2024,Active,"['227', 'TRIQ SALVU PSAILA', 'BIRKIRKARA', 'BKR 9078', 'Malta']"
C 107398,C 107398,OPTEIA LIMITED,4/1/2024,Active,"['B&G GROUP PART OF J2 GROUP SAN GWAKKIN ROAD ZONE 3 MRIEHEL', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD 3020', 'Malta']"
C 107399,C 107399,Moonbound Ltd.,8/1/2024,Active,"['SOHO THE STRAND - FAWWARA BUILDING', 'TRIQ L- IMSIDA', 'GZIRA', 'GZR 1401', 'Malta']"
C 107400,C 107400,Starmerger Limited,8/1/2024,Active,"['NO 4', ""TRIQ SANT'ANDRIJA"", 'VALLETTA', 'VLT 1341', 'Malta']"
C 107401,C 107401,Aquore Trading Limited,8/1/2024,Active,"['OFFICE 1C LEVEL 4 THE CORE', ""TRIQ IL- WIED TA' L-IMSIDA"", 'MSIDA', 'MSD 9021', 'Malta']"
C 107402,C 107402,Piper International Limited,16-11-2023,Active,"['EWROPA BUSINESS CENTRE', 'TRIQ DUN KARM', 'BIRKIRKARA', 'BKR 9034', 'Malta']"
C 107403,C 107403,AUREA 3 INVEST LTD.,8/1/2024,Active,"['THE PENTHOUSE 20 LYONS RANGE COURT', 'SQAQ BISAZZA', 'SLIEMA', 'SLM 1640', 'Malta']"
C 107404,C 107404,INSIDERS TRAVEL LTD.,8/1/2024,Active,"['THE PENTHOUSE 20 LYONS RANGE COURT', 'TRIQ BISAZZA', 'SLIEMA', 'SLM 1640', 'Malta']"
C 107405,C 107405,La Lucchese Holding Ltd.,8/1/2024,Active,"['102 SUITE 3', 'TRIQ SANTA KATERINA', 'ATTARD', 'ATD 2605', 'Malta']"
C 107406,C 107406,Flarex Media International LTD.,23-11-2023,Active,"[""64 'EXCALIBUR'"", 'TRIQ B. BONTADINI', 'BIRKIRKARA', 'BKR 1737', 'Malta']"
C 107407,C 107407,Syreno Group Malta Ltd.,9/1/2024,Active,"['59A', 'TRIQ MANOEL DE VILHENA', 'GZIRA', 'GZR 1012', 'Malta']"
C 107408,C 107408,Good Providence Limited,9/1/2024,Active,"['LA PROVVIDA', 'TRIQ KARM ZERAFA', 'BIRKIRKARA', 'BKR 1719', 'Malta']"
C 107409,C 107409,AmBeTom Consulting Limited,21-12-2023,Active,"['PYKETREE BUSINESS CENTRE SUITE 3 ZONE 5 CENTRAL BUSINESS DISTRICT', 'INDUSTRY STREET', 'SANTA VENERA', 'CBD 5030', 'Malta']"
C 107410,C 107410,PETRONIAN GROUP LIMITED,8/1/2024,Active,"['Q2 LEVEL 7 QUAD CENTRAL TRIQ L-ESPORTATURI', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD 1040', 'Malta']"
C 107411,C 107411,BP23 PAN Solutions Ltd.,8/1/2024,Active,"['66 APT 5', 'TRIQ TAT- TEATRU L-ANTIK', 'VALLETTA', 'VLT 1427', 'Malta']"
C 107412,C 107412,DENT REPAIRS MLT. LIMITED,9/1/2024,Active,"['36', 'TRIQ SANTA DMINKA', 'RABAT, GHAWDEX', 'VCT 9030', 'Malta']"
C 107413,C 107413,VentureMax Services Ltd.,21-12-2023,Active,"['229 COMMERCIAL AREA', 'TRIQ IT- TORRI', 'SLIEMA', 'SLM 1601', 'Malta']"
C 107414,C 107414,First Marketing Trading Solutions Ltd.,3/1/2024,Active,"['64 EXCALIBUR', 'TRIQ B. BONTADINI', 'BIRKIRKARA', 'BKR 1737', 'Malta']"
C 107415,C 107415,Monarch Business School Malta Ltd.,19-12-2023,Active,"['Tower Business Centre 2nd Floor', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'BKR 4013', 'Malta']"
C 107416,C 107416,Mark Ops Ltd.,12/1/2024,Active,"['30/1 KENILWORTH COURT', 'TRIQ SIR AUGUSTUS BARTOLO', 'TA XBIEX', 'XBX 1093', 'Malta']"
C 107417,C 107417,EASTCOM CAPITAL LTD.,10/1/2024,Active,"['OFFICE 2 LEVEL 2 STERLING BUILDING', 'TRIQ ENRICO MIZZI', 'TA XBIEX', 'XBX 1453', 'Malta']"
C 107418,C 107418,SPEC Refinery (MALTA) Ltd.,21-12-2023,Active,"['CAVENDISH RESIDENCE BLUE FLAT 6', ""IX-XATT TA' XBIEX"", 'TA XBIEX', 'XBX 1027', 'Malta']"
C 107419,C 107419,CECJ Ltd.,10/1/2024,Active,"['QUISISANA BOUTIQUE APARTMENTS NO 1', ""IX-XATT TA' QUI-SI-SANA"", 'SLIEMA', 'SLM 3113', 'Malta']"
C 107420,C 107420,RESDK Construction and Finishes Limited,10/1/2024,Active,"['NORDIC 80', 'TRIQ IL- MITHNA L-GDIDA', 'MELLIEHA', 'MLH 1106', 'Malta']"
C 107421,C 107421,CONNECT NEPAL LIMITED,10/1/2024,Active,"['GARCIA FLAT 6', 'TRIQ GARCIA DE TOLEDO', 'SAN PAWL IL-BAHAR', 'SPB 1017', 'Malta']"
C 107422,C 107422,Rebirth your Essence Ltd.,10/1/2024,Active,"['86', 'TRIQ IL- MERKANTI', 'VALLETTA', 'VLT 1177', 'Malta']"
C 107423,C 107423,Articis Limited,18-12-2023,Active,"['PYKETREE BUSINESS CENTRE SUITE 3 ZONE 5 CENTRAL BUSINESS DISTRICT', 'INDUSTRY STREET', 'SANTA VENERA', 'CBD 5030', 'Malta']"
C 107424,C 107424,Agricom Holdings LTD.,20-12-2023,Active,"['WHITEHALL MANSIONS LEVEL 2', ""IX-XATT TA' XBIEX"", 'TA XBIEX', 'XBX 1026', 'Malta']"
C 107425,C 107425,McKesson International Opco3A Limited,21-12-2023,Active,"['93 ZONE 5 CENTRAL BUSINESS DISTRICT', 'TRIQ IL- MITHNA', 'QORMI', 'CBD 5090', 'Malta']"
C 107426,C 107426,EBW Capital EU Ltd.,4/1/2024,Active,"['30/1 KENILWORTH COURT', 'TRIQ SIR AUGUSTUS BARTOLO', 'TA XBIEX', 'XBX 1093', 'Malta']"
C 107427,C 107427,GaleaBusuttil Ventures LTD.,11/1/2024,Active,"['OFFICE 2 SCHEMSON HOUSE LEVEL 2', 'TRIQ IL- WIED', 'BIRKIRKARA', 'BKR 9024', 'Malta']"
C 107428,C 107428,BANDINA VENTURES LTD.,11/1/2024,Active,"['BLUE HARBOUR BUSINESS CENTRE LEVEL 1', ""IX-XATT TA' XBIEX"", 'TA XBIEX', 'XBX 1027', 'Malta']"
C 107429,C 107429,Physio Point Malta Ltd.,11/1/2024,Active,"['TYNDARIS', 'TRIQ JOSEF KALLEYA', 'SWIEQI', 'SWQ 3552', 'Malta']"
C 107430,C 107430,Mi.Eli. and Associates Limited,11/1/2024,Active,"['SHILANDI APT E5', 'TRIQ IL- PUNICI', 'XLENDI, GHAWDEX', 'XLN 1410', 'Malta']"
C 107431,C 107431,727 ENTERTAINMENT LIMITED,8/1/2024,Active,"['FOOTLOSE BAR', 'TRIQ SAN GORG', 'SAN GILJAN', 'STJ 3201', 'Malta']"
C 107432,C 107432,115 Investments Ltd.,21-12-2023,Active,"['154 CAMELLIA', 'TRIQ IL- WIED', 'IKLIN', 'IKL 1803', 'Malta']"
C 107433,C 107433,SPLACES LTD.,12/1/2024,Active,"['56 CENTRAL BUSINESS CENTRE', 'TRIQ IS- SOLL', 'SANTA VENERA', 'SVR 1833', 'Malta']"
C 107434,C 107434,Bluefort Group Ltd.,10/1/2024,Active,"['ARDENT BUSINESS CENTRE', 'TRIQ L- ORATORJU', 'NAXXAR', 'NXR 2505', 'Malta']"
C 107435,C 107435,SANTA FE' HAULAGE LTD.,12/1/2024,Active,"['104', 'TRIQ AMLETO SPITERI', 'QORMI', 'QRM 1911', 'Malta']"
C 107436,C 107436,PD Spiteri Estates Limited,12/1/2024,Active,"['40', 'TRIQ IL- BACIR', 'MSIDA', 'MSD 1263', 'Malta']"
C 107437,C 107437,Bonicel Goralczyk Ltd.,12/1/2024,Active,"['BUSINESS HOUSE SUITE 7', 'TRIQ L- ARCISQOF PIETRU PACE', 'RABAT, GHAWDEX', 'VCT 2504', 'Malta']"
C 107438,C 107438,Hospitality House Limited,12/1/2024,Active,"['CYPREA', ""TRIQ ID- DAR TA' PULTU"", 'BIRZEBBUGA', 'BBG 1811', 'Malta']"
C 107439,C 107439,NOHOFORM LTD.,15-01-2024,Active,"[""TA' MAGGI INDUSTRIAL PARK ADMINISTRATION BUILDING LEVEL -2"", 'TRIQ SAN LEONARDU', 'XGHAJRA', 'XJR 2306', 'Malta']"
C 107440,C 107440,MFD Rentals Limited,15-01-2024,Active,"['27 OLEA', 'TRIQ G.F. AGIUS DE SOLDANIS', 'BIRKIRKARA', 'BKR 4850', 'Malta']"
C 107441,C 107441,Techsphere LIMITED,15-01-2024,Active,"['LA PROVVIDA', 'TRIQ KARM ZERAFA', 'BIRKIRKARA', 'BKR 1719', 'Malta']"
C 107442,C 107442,HUKS Holdings Limited,15-01-2024,Active,"['SERENITY', 'TRIQ IR- RUMANI', 'XLENDI, GHAWDEX', 'XLN 1431', 'Malta']"
C 107443,C 107443,TECHNANO Ltd.,15-01-2024,Active,"['ROOM 4 OFFICE 18 BLOCK 19 VINCENTI BUILDINGS', 'TRIQ ID- DEJQA', 'VALLETTA', 'VLT 1432', 'Malta']"
C 107444,C 107444,Stineo Ltd.,15-01-2024,Active,"['HORECA BUILDING 3RD FLOOR', 'TRIQ L- IMGARR', 'XEWKIJA, GHAWDEX', 'XWK 9012', 'Malta']"
C 107445,C 107445,db Ice cream Limited,10/1/2024,Active,"['DB SEABANK RESORT & SPA MELLIEHA BAY', 'TRIQ IL- MARFA', 'MELLIEHA', 'MLH 9064', 'Malta']"
C 107446,C 107446,Xemxija Consulting LTD.,11/1/2024,Active,"['NO 263 LEVEL 3', 'TRIQ IX- XATT', 'GZIRA', 'GZR 1020', 'Malta']"
C 107447,C 107447,Simmo Ltd.,15-01-2024,Active,"['NEW HAVEN APT 5', 'TRIQ IL- FIRILLA', 'GHAJNSIELEM, GHAWDEX', 'GSM 1612', 'Malta']"
C 107448,C 107448,Bluefort Software LTD.,10/1/2024,Active,"['ARDENT BUSINESS CENTRE', 'TRIQ L- ORATORJU', 'NAXXAR', 'NXR 2505', 'Malta']"
C 107449,C 107449,Two Four One Services Ltd.,11/1/2024,Active,"['VILLA PINACEAE', 'RAS IL-QAWRA', 'SAN PAWL IL-BAHAR', 'SPB 1623', 'Malta']"
C 107450,C 107450,Drowe Method Ltd.,18-01-2024,Active,"['BUSINESS HOUSE SUITE 7', 'TRIQ L- ARCISQOF PIETRU PACE', 'RABAT, GHAWDEX', 'VCT 2504', 'Malta']"
C 107451,C 107451,Lumosigns International Limited,18-01-2024,Active,"[""LEVEL 5 ST. JULIAN'S BUSINESS CENTRE"", 'TRIQ ELIJA ZAMMIT', 'SAN GILJAN', 'STJ 3153', 'Malta']"
C 107452,C 107452,MetroStays Ltd.,18-01-2024,Active,"['N. 20 BAYS WATER FL 2', 'TRIQ LUIGI APAP', 'SAN GILJAN', 'STJ 3222', 'Malta']"
C 107453,C 107453,LM Hiddenladder Ltd.,18-01-2024,Active,"['KINGSWAY PALACE 4TH FLOOR FLAT 20', 'TRIQ IR- REPUBBLIKA', 'VALLETTA', 'VLT 1115', 'Malta']"
C 107454,C 107454,Tek Sahhar Ltd.,11/1/2024,Active,"['NO.263', 'TRIQ IX- XATT', 'GZIRA', 'GZR 1020', 'Malta']"
C 107455,C 107455,PRSS WRKS Co. Ltd.,10/1/2024,Active,"['LEVEL 1 THE BREWHOUSE ZONE 2', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD 2010', 'Malta']"
C 107456,C 107456,BLOXX BUREAU LIMITED,16-01-2024,Active,"['175 LEVEL 1', 'VJAL L- INDIPENDENZA', 'MOSTA', 'MST 9024', 'Malta']"
C 107457,C 107457,TRIED AND TESTED LIMITED,18-01-2024,Active,"['FLAT 1. GLENVILLE APTS.', 'TRIQ SAMMY BARTOLO', 'MELLIEHA', 'MLH 1022', 'Malta']"
C 107458,C 107458,Blocktique Holding Limited,18-01-2024,Active,"['260', 'TRIQ SAN ALBERT', 'GZIRA', 'GZR 1150', 'Malta']"
C 107459,C 107459,Quantum Global Holding Ltd.,18-01-2024,Active,"['36 FLAT 3', 'TRIQ L- ABBATE SAVOIA', 'NAXXAR', 'NXR 1141', 'Malta']"
C 107460,C 107460,It-Twila Construction Limited,18-01-2024,Active,"['102 SUITE 3', 'TRIQ SANTA KATERINA', 'ATTARD', 'ATD 2605', 'Malta']"
C 107461,C 107461,Hedonist Catering Services Ltd.,18-01-2024,Active,"['34 PRYSMA APARTMENTS FLAT 2', 'TRIQ IL- GHABEX', 'SAN PAWL IL-BAHAR', 'SPB 3212', 'Malta']"
